	TranscriptionName	modifiers	Annotation
694	Pushkarev_Denisov	0	1
695	Pushkarev_Denisov	0	0
696	Pushkarev_Denisov	1	1
697	Pushkarev_Denisov	1	1
698	Pushkarev_Denisov	1	1
699	Pushkarev_Denisov	1	0
700	Pushkarev_Denisov	1	1
701	Pushkarev_Denisov	0	1
702	Pushkarev_Denisov	0	1
703	Pushkarev_Denisov	1	1
704	Pushkarev_Denisov	1	1
705	Pushkarev_Denisov	1	1
706	Pushkarev_Denisov	1	1
707	Pushkarev_Denisov	1	1
708	Pushkarev_Denisov	1	1
709	Pushkarev_Denisov	1	1
710	Pushkarev_Denisov	1	0
711	Pushkarev_Denisov	1	0
712	Pushkarev_Denisov	1	0
713	Pushkarev_Denisov	1	1
714	Pushkarev_Denisov	1	0
715	Pushkarev_Denisov	1	0
716	Pushkarev_Denisov	0	1
717	Pushkarev_Denisov	0	1
718	Pushkarev_Denisov	1	0
719	Pushkarev_Denisov	0	1
720	Pushkarev_Denisov	0	1
721	Pushkarev_Denisov	1	1
722	Pushkarev_Denisov	0	1
723	Pushkarev_Denisov	0	0
724	Pushkarev_Denisov	1	1
725	Pushkarev_Denisov	1	1
726	Pushkarev_Denisov	0	1
727	Pushkarev_Denisov	0	1
728	Pushkarev_Denisov	1	1
729	Pushkarev_Denisov	1	1
730	Pushkarev_Denisov	1	1
731	Pushkarev_Denisov	1	0
732	Pushkarev_Denisov	1	1
733	Pushkarev_Denisov	0	1
734	Pushkarev_Denisov	0	1
735	Pushkarev_Denisov	0	1
736	Pushkarev_Denisov	0	1
737	Pushkarev_Denisov	0	1
738	Pushkarev_Denisov	0	0
739	Pushkarev_Denisov	0	0
740	Pushkarev_Denisov	0	0
741	Pushkarev_Denisov	0	0
742	Pushkarev_Denisov	0	0
743	Pushkarev_Denisov	0	1
744	Pushkarev_Denisov	0	1
745	Pushkarev_Denisov	1	1
746	Chuhlovina_Metalichenko	1	1
747	Chuhlovina_Metalichenko	1	1
748	Chuhlovina_Metalichenko	1	1
749	Chuhlovina_Metalichenko	1	1
750	Chuhlovina_Metalichenko	0	1
751	Chuhlovina_Metalichenko	0	1
752	Chuhlovina_Metalichenko	1	1
753	Chuhlovina_Metalichenko	0	1
754	Chuhlovina_Metalichenko	0	1
755	Chuhlovina_Metalichenko	1	1
756	Chuhlovina_Metalichenko	1	0
757	Chuhlovina_Metalichenko	1	1
758	Chuhlovina_Metalichenko	1	1
759	Chuhlovina_Metalichenko	1	1
760	Chuhlovina_Metalichenko	1	1
761	Chuhlovina_Metalichenko	1	1
762	Chuhlovina_Metalichenko	1	0
763	Chuhlovina_Metalichenko	1	0
764	Chuhlovina_Metalichenko	1	1
765	Chuhlovina_Metalichenko	1	1
766	Chuhlovina_Metalichenko	1	1
767	Chuhlovina_Metalichenko	1	1
768	Chuhlovina_Metalichenko	1	1
769	Chuhlovina_Metalichenko	1	1
770	Chuhlovina_Metalichenko	1	0
771	Chuhlovina_Metalichenko	1	0
772	Chuhlovina_Metalichenko	1	1
773	Chuhlovina_Metalichenko	1	0
774	Chuhlovina_Metalichenko	1	1
775	Chuhlovina_Metalichenko	1	0
776	Chuhlovina_Metalichenko	1	1
777	Chuhlovina_Metalichenko	1	1
778	Borisova_Subocheva	1	0
779	Borisova_Subocheva	0	1
780	Borisova_Subocheva	0	0
781	Borisova_Subocheva	1	1
782	Borisova_Subocheva	0	1
783	Borisova_Subocheva	0	0
784	Borisova_Subocheva	0	1
785	Borisova_Subocheva	0	0
786	Borisova_Subocheva	1	1
787	Borisova_Subocheva	1	1
788	Borisova_Subocheva	1	1
789	Borisova_Subocheva	1	1
790	Borisova_Subocheva	1	0
792	Borisova_Subocheva	0	0
793	Borisova_Subocheva	1	0
794	Borisova_Subocheva	1	0
795	Borisova_Subocheva	1	1
796	Borisova_Subocheva	1	0
797	Borisova_Subocheva	1	0
798	Borisova_Subocheva	0	1
800	Borisova_Subocheva	1	1
801	Borisova_Subocheva	1	0
802	Borisova_Subocheva	1	1
803	Borisova_Subocheva	1	0
804	Borisova_Subocheva	1	0
805	Borisova_Subocheva	1	0
